"","Date","Song","Artist"
"1","1963-08-14","Days Of Wine And Roses","Andy Williams"
"2","1963-08-14","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"3","1963-08-14","West Side Story","Soundtrack"
"4","1963-08-14","(Moving)","Peter| Paul & Mary"
"5","1963-08-14","Trini Lopez At PJ's","Trini Lopez"
"6","1963-08-14","Peter; Paul And Mary","Peter| Paul & Mary"
"7","1963-08-14","Live At The Apollo","James Brown"
"8","1963-08-14","Shut Down","Various Artists"
"9","1963-08-14","Cleopatra","Soundtrack"
"10","1963-08-14","Bye Bye Birdie","Soundtrack"
"11","1963-08-21","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"12","1963-08-21","Trini Lopez At PJ's","Trini Lopez"
"13","1963-08-21","Days Of Wine And Roses","Andy Williams"
"14","1963-08-21","(Moving)","Peter| Paul & Mary"
"15","1963-08-21","My Son; The Nut","Allan Sherman"
"16","1963-08-21","West Side Story","Soundtrack"
"17","1963-08-21","Shut Down","Various Artists"
"18","1963-08-21","Live At The Apollo","James Brown"
"19","1963-08-21","Bye Bye Birdie","Soundtrack"
"20","1963-08-21","Peter; Paul And Mary","Peter| Paul & Mary"
"21","1963-08-28","My Son; The Nut","Allan Sherman"
"22","1963-08-28","Trini Lopez At PJ's","Trini Lopez"
"23","1963-08-28","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"24","1963-08-28","(Moving)","Peter| Paul & Mary"
"25","1963-08-28","Days Of Wine And Roses","Andy Williams"
"26","1963-08-28","West Side Story","Soundtrack"
"27","1963-08-28","Peter; Paul And Mary","Peter| Paul & Mary"
"28","1963-08-28","Bye Bye Birdie","Soundtrack"
"29","1963-08-28","Shut Down","Various Artists"
"30","1963-08-28","Cleopatra","Soundtrack"
"31","1963-09-04","My Son; The Nut","Allan Sherman"
"32","1963-09-04","Trini Lopez At PJ's","Trini Lopez"
"33","1963-09-04","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"34","1963-09-04","(Moving)","Peter| Paul & Mary"
"35","1963-09-04","Bye Bye Birdie","Soundtrack"
"36","1963-09-04","West Side Story","Soundtrack"
"37","1963-09-04","Peter; Paul And Mary","Peter| Paul & Mary"
"38","1963-09-04","Days Of Wine And Roses","Andy Williams"
"39","1963-09-04","Shut Down","Various Artists"
"40","1963-09-04","Lawrence Of Arabia","Soundtrack"
"41","1963-09-11","My Son; The Nut","Allan Sherman"
"42","1963-09-11","Trini Lopez At PJ's","Trini Lopez"
"43","1963-09-11","Bye Bye Birdie","Soundtrack"
"44","1963-09-11","(Moving)","Peter| Paul & Mary"
"45","1963-09-11","Peter; Paul And Mary","Peter| Paul & Mary"
"46","1963-09-11","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"47","1963-09-11","West Side Story","Soundtrack"
"48","1963-09-11","Days Of Wine And Roses","Andy Williams"
"49","1963-09-11","Sunny Side!","The Kingston Trio"
"50","1963-09-11","Live At The Apollo","James Brown"
"51","1963-09-18","My Son; The Nut","Allan Sherman"
"52","1963-09-18","Trini Lopez At PJ's","Trini Lopez"
"53","1963-09-18","Bye Bye Birdie","Soundtrack"
